"['Stock: NBL', 'Net: -5.4', 'Percent Gain: -100.0%']"
"['Stock: HAS', 'Net: 14.87', 'Percent Gain: 18.9%']"
"['Stock: FE', 'Net: 0.0', 'Percent Gain: 0%']"
"['Stock: FB', 'Net: 53.14', 'Percent Gain: 24.15%']"
"['Stock: ORCL', 'Net: 2.67', 'Percent Gain: 4.31%']"
"['Stock: HPQ', 'Net: 0.35', 'Percent Gain: 1.44%']"
"['Stock: GRMN', 'Net: 33.48', 'Percent Gain: 38.85%']"
"['Stock: PCG', 'Net: -4.38', 'Percent Gain: -26.01%']"
"['Stock: F', 'Net: 1.2', 'Percent Gain: 15.81%']"
"['Stock: IP', 'Net: 12.81', 'Percent Gain: 34.71%']"
"['Stock: HAL', 'Net: 0.49', 'Percent Gain: 2.66%']"
"['Stock: GPC', 'Net: -3.72', 'Percent Gain: -3.57%']"
"['Stock: PLD', 'Net: 3.35', 'Percent Gain: -100.0%']"
"['Stock: JPM', 'Net: 23.43', 'Percent Gain: 22.61%']"
"['Stock: HOLX', 'Net: 14.85', 'Percent Gain: 25.61%']"
"['Stock: SCG', 'Net: 0.04', 'Percent Gain: 400.0%']"
"['Stock: LH', 'Net: 38.8', 'Percent Gain: 23.55%']"
"['Stock: IR', 'Net: 5.62', 'Percent Gain: 14.07%']"
"['Stock: SPGI', 'Net: 15.88', 'Percent Gain: -100.0%']"
"['Stock: M', 'Net: 0.9', 'Percent Gain: 8.7%']"
"['Stock: HBAN', 'Net: 0.39', 'Percent Gain: 3.19%']"
"['Stock: TGT', 'Net: 63.4', 'Percent Gain: 56.04%']"
"['Stock: MTD', 'Net: 289.48', 'Percent Gain: 34.05%']"
"['Stock: TRIP', 'Net: -0.77', 'Percent Gain: -2.61%']"
"['Stock: KSS', 'Net: 9.53', 'Percent Gain: 30.58%']"
"['Stock: IFF', 'Net: -21.03', 'Percent Gain: -100.0%']"
"['Stock: MOS', 'Net: 4.82', 'Percent Gain: 26.5%']"
"['Stock: KSU', 'Net: 53.96', 'Percent Gain: 35.93%']"
"['Stock: L', 'Net: -3.82', 'Percent Gain: -7.82%']"
"['Stock: NEE', 'Net: 13.87', 'Percent Gain: 21.92%']"
"['Stock: VMC', 'Net: 31.03', 'Percent Gain: 26.46%']"
"['Stock: LEG', 'Net: 12.3', 'Percent Gain: 38.44%']"
"['Stock: MCD', 'Net: -20.9', 'Percent Gain: -8.88%']"
"['Stock: ORLY', 'Net: 56.98', 'Percent Gain: 14.4%']"
"['Stock: WLTW', 'Net: -20.85', 'Percent Gain: -9.01%']"
"['Stock: MPC', 'Net: -6.78', 'Percent Gain: -14.08%']"
"['Stock: MDLZ', 'Net: -1.74', 'Percent Gain: -2.89%']"
"['Stock: ABT', 'Net: 10.92', 'Percent Gain: 11.08%']"
"['Stock: PEP', 'Net: 6.17', 'Percent Gain: 4.34%']"
"['Stock: NWL', 'Net: 5.02', 'Percent Gain: 30.97%']"
"['Stock: AFL', 'Net: -3.9', 'Percent Gain: -8.06%']"
"['Stock: NOC', 'Net: -26.52', 'Percent Gain: -100.0%']"
"['Stock: MYL', 'Net: -2.21', 'Percent Gain: -10.55%']"
"['Stock: ADS', 'Net: 10.78', 'Percent Gain: 17.02%']"
"['Stock: DGX', 'Net: -0.76', 'Percent Gain: -0.63%']"
"['Stock: PDCO', 'Net: 7.14', 'Percent Gain: 31.75%']"
"['Stock: AIG', 'Net: -0.82', 'Percent Gain: -2.12%']"
"['Stock: NKE', 'Net: 44.18', 'Percent Gain: 45.41%']"
"['Stock: ROP', 'Net: 16.21', 'Percent Gain: 3.91%']"
"['Stock: PXD', 'Net: -28.16', 'Percent Gain: -19.82%']"
"['Stock: OMC', 'Net: -3.31', 'Percent Gain: -5.04%']"
"['Stock: ANTM', 'Net: -38.64', 'Percent Gain: -10.74%']"
"['Stock: SWKS', 'Net: 50.56', 'Percent Gain: 49.41%']"
"['Stock: PHM', 'Net: 6.69', 'Percent Gain: 18.36%']"
"['Stock: PRGO', 'Net: -22.42', 'Percent Gain: -100.0%']"
"['Stock: SNPS', 'Net: 109.81', 'Percent Gain: 73.49%']"
"['Stock: AIZ', 'Net: 18.95', 'Percent Gain: 16.16%']"
"['Stock: RSG', 'Net: 2.26', 'Percent Gain: 2.4%']"
"['Stock: PFG', 'Net: -19.6', 'Percent Gain: -28.32%']"
"['Stock: BMY', 'Net: -3.39', 'Percent Gain: -5.18%']"
"['Stock: SEE', 'Net: 7.46', 'Percent Gain: 19.46%']"
"['Stock: RJF', 'Net: -13.46', 'Percent Gain: -12.33%']"
